TransactionAmount,TransactionDate,TransactionType,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Bin,TransactionDuration_Bin,LoginAttempts_Bin,Cluster_KMeans,Cluster_DBSCAN,Cluster,Is_Anomaly,Fraud_Score,Original_TransactionType,Original_Location,Original_IP Address,Original_Channel,Original_CustomerOccupation
-0.9712754695068417,8555348.0,1,36,186,0,1.4237182648914386,0,-0.5524432626288954,-0.20679364850592932,-0.000536635052410607,105.0,-1,-1,-1,2,-1,2,True,100,1,36,186,0,0
0.2694396064236742,15209053.0,1,15,82,0,1.3112870641052805,0,0.30531436617680696,-0.20679364850592932,2.2164715868484435,192.0,0,0,-1,1,-1,1,True,100,1,15,82,0,0
-0.5868816229808057,16337762.0,1,23,343,2,-1.443277355155591,3,-0.9098422746312714,-0.20679364850592932,-1.0235341282270716,41.0,-1,-1,-1,1,-1,1,True,100,1,23,343,2,3
-0.38745590278222697,10629125.0,1,33,300,2,-1.0497681524040379,3,-1.3530170495142178,-0.20679364850592932,0.8857974429054191,163.0,-1,-1,-1,1,-1,1,True,100,1,33,300,2,3
-0.9734680903782914,24803478.0,0,1,501,2,-1.0497681524040379,3,1.1201841135422241,-0.20679364850592932,0.5935893646592064,16.0,-1,0,-1,0,-1,0,True,100,0,1,501,2,3
-0.7038442425922038,7866895.0,1,28,60,0,-1.49949295554867,3,0.7484891410597533,-0.20679364850592932,-1.1108816933044958,13.0,-1,0,-1,2,-1,2,True,100,1,28,60,0,3
-0.9952915199894398,3803802.0,0,39,112,0,-0.4313965480801688,0,0.2767224452166169,-0.20679364850592932,2.103091796208713,226.0,-1,0,-1,2,-1,2,True,100,0,39,112,0,0
-0.4322675918424815,10892873.0,0,16,571,1,1.2550714637122016,2,2.4497084381910628,-0.20679364850592932,-0.5943498275623533,272.0,-1,0,-1,1,-1,1,True,100,0,16,571,1,2
-0.6556065834203091,6742780.0,0,11,370,1,0.35562185742293734,1,-0.4809634602284203,-0.20679364850592932,1.0206840106570008,291.0,-1,-1,-1,2,-1,2,True,100,0,11,370,1,1
1.775907183914124,7603611.0,1,26,393,0,0.5804842589952534,0,0.005099196094811121,-0.20679364850592932,-1.049294570483005,9.0,0,0,-1,2,-1,2,True,100,1,26,393,0,0
-0.958633639794889,6137164.0,0,0,337,2,0.41183745781601633,1,-0.8669543931909863,-0.20679364850592932,0.6372080213386072,22.0,-1,-1,-1,2,-1,2,True,100,0,0,337,2,1
-0.36854454776597273,3029394.0,1,22,56,2,-1.330846154369433,3,0.7627851015398482,-0.20679364850592932,-0.9193180502003306,49.0,-1,0,-1,2,-1,2,True,100,1,22,56,2,3
0.6746633512284828,13483282.0,0,23,332,1,-1.162199353190196,3,-0.12356444822604423,-0.20679364850592932,-0.895931865884976,135.0,0,-1,-1,1,-1,1,True,100,0,23,332,1,3
1.6587390060960276,27823149.0,1,22,277,0,-1.0497681524040379,3,0.04798707753509624,-0.20679364850592932,-1.2626675419268705,43.0,0,0,-1,0,-1,0,True,100,1,22,277,0,3
-0.4474446394370477,3632031.0,1,21,251,2,-1.49949295554867,3,0.20524264281614168,-0.20679364850592932,-1.2344020780640845,226.0,-1,0,-1,2,-1,2,True,100,1,21,251,2,3
0.5750704000831007,29723005.0,1,10,361,0,-0.4876121484732478,1,0.1337628404156665,-0.20679364850592932,-0.4227417455289484,356.0,0,0,-1,0,-1,0,True,100,1,10,361,0,1
0.884606799669797,26009563.0,0,2,464,1,-1.443277355155591,3,0.5483456943384226,-0.20679364850592932,-1.021249610057465,72.0,0,0,-1,0,-1,0,True,100,0,2,464,1,3
0.6692160587509748,29903528.0,1,8,49,2,-0.31896534729401077,1,1.6348386908256456,-0.20679364850592932,-0.0011109695866326143,328.0,0,0,-1,0,-1,0,True,100,1,8,49,2,1
